Country,transportation_type,date,mobility,Country_code
Italy,driving,2020-10-11,112.41,IT
Italy,transit,2020-10-11,73.79,IT
Italy,walking,2020-10-11,94.65,IT
Italy,driving,2020-10-12,104.91,IT
Italy,transit,2020-10-12,73.58,IT
Italy,walking,2020-10-12,96.37,IT
Italy,driving,2020-10-13,107.05,IT
Italy,transit,2020-10-13,71.62,IT
Italy,walking,2020-10-13,99.59,IT
Italy,driving,2020-10-14,107.4,IT
Italy,transit,2020-10-14,69.75,IT
Italy,walking,2020-10-14,94.03,IT
Italy,driving,2020-10-15,105.12,IT
Italy,transit,2020-10-15,66.29,IT
Italy,walking,2020-10-15,87.97,IT
Italy,driving,2020-10-16,115.85,IT
Italy,transit,2020-10-16,67.89,IT
Italy,walking,2020-10-16,103.87,IT
Italy,driving,2020-10-17,117.86,IT
Italy,transit,2020-10-17,65.89,IT
Italy,walking,2020-10-17,127.76,IT
Italy,driving,2020-10-18,113.38,IT
Italy,transit,2020-10-18,63.47,IT
Italy,walking,2020-10-18,101.97,IT
Italy,driving,2020-10-19,95.8,IT
Italy,transit,2020-10-19,62.5,IT
Italy,walking,2020-10-19,85.7,IT
Italy,driving,2020-10-20,97.01,IT
Italy,transit,2020-10-20,60.44,IT
Italy,walking,2020-10-20,85.55,IT
Italy,driving,2020-10-21,97.56,IT
Italy,transit,2020-10-21,59.27,IT
Italy,walking,2020-10-21,85.46,IT
Italy,driving,2020-10-22,96.78,IT
Italy,transit,2020-10-22,60.05,IT
Italy,walking,2020-10-22,82.87,IT
Italy,driving,2020-10-23,98.37,IT
Italy,transit,2020-10-23,62.47,IT
Italy,walking,2020-10-23,82.59,IT
Italy,driving,2020-10-24,90.73,IT
Italy,transit,2020-10-24,55.97,IT
Italy,walking,2020-10-24,90.56,IT
Italy,driving,2020-10-25,90.65,IT
Italy,transit,2020-10-25,57.89,IT
Italy,walking,2020-10-25,78.79,IT
Italy,driving,2020-10-26,78.76,IT
Italy,transit,2020-10-26,56.47,IT
Italy,walking,2020-10-26,61.5,IT
Italy,driving,2020-10-27,81.64,IT
Italy,transit,2020-10-27,54.05,IT
Italy,walking,2020-10-27,66.37,IT
Italy,driving,2020-10-28,83.93,IT
Italy,transit,2020-10-28,54.03,IT
Italy,walking,2020-10-28,68.43,IT
Italy,driving,2020-10-29,83.92,IT
Italy,transit,2020-10-29,59.06,IT
Italy,walking,2020-10-29,66.77,IT
Italy,driving,2020-10-30,88.13,IT
Italy,transit,2020-10-30,54.96,IT
Italy,walking,2020-10-30,69.66,IT
Italy,driving,2020-10-31,88.18,IT
Italy,transit,2020-10-31,49.26,IT
Italy,walking,2020-10-31,79.83,IT
Italy,driving,2020-11-01,76.87,IT
Italy,transit,2020-11-01,47.7,IT
Italy,walking,2020-11-01,60.68,IT
Italy,driving,2020-11-02,75.01,IT
Italy,transit,2020-11-02,48.75,IT
Italy,walking,2020-11-02,58.07,IT
Italy,driving,2020-11-03,74.68,IT
Italy,transit,2020-11-03,46.94,IT
Italy,walking,2020-11-03,58.75,IT
Italy,driving,2020-11-04,77.31,IT
Italy,transit,2020-11-04,46.57,IT
Italy,walking,2020-11-04,60,IT
Italy,driving,2020-11-05,76.55,IT
Italy,transit,2020-11-05,44.98,IT
Italy,walking,2020-11-05,59.32,IT
Italy,driving,2020-11-06,65.65,IT
Italy,transit,2020-11-06,41.59,IT
Italy,walking,2020-11-06,52.41,IT
Italy,driving,2020-11-07,61.96,IT
Italy,transit,2020-11-07,37.93,IT
Italy,walking,2020-11-07,58.74,IT
Italy,driving,2020-11-08,58.26,IT
Italy,transit,2020-11-08,39.06,IT
Italy,walking,2020-11-08,49.54,IT
Italy,driving,2020-11-09,61.41,IT
Italy,transit,2020-11-09,40.62,IT
Italy,walking,2020-11-09,48.56,IT
Italy,driving,2020-11-10,65.04,IT
Italy,transit,2020-11-10,41.13,IT
Italy,walking,2020-11-10,50.54,IT
Italy,driving,2020-11-11,62.96,IT
Italy,transit,2020-11-11,40.23,IT
Italy,walking,2020-11-11,49.45,IT
Italy,driving,2020-11-12,62.67,IT
Italy,transit,2020-11-12,40.74,IT
Italy,walking,2020-11-12,48.7,IT
Italy,driving,2020-11-13,64.72,IT
Italy,transit,2020-11-13,41.37,IT
Italy,walking,2020-11-13,51.93,IT
Italy,driving,2020-11-14,58.45,IT
Italy,transit,2020-11-14,37.77,IT
Italy,walking,2020-11-14,54.6,IT
Italy,driving,2020-11-15,44.18,IT
Italy,transit,2020-11-15,38.19,IT
Italy,walking,2020-11-15,39.24,IT
Italy,driving,2020-11-16,55.47,IT
Italy,transit,2020-11-16,38.89,IT
Italy,walking,2020-11-16,41.33,IT
Italy,driving,2020-11-17,58.75,IT
Italy,transit,2020-11-17,38.84,IT
Italy,walking,2020-11-17,46.28,IT
Italy,driving,2020-11-18,61.31,IT
Italy,transit,2020-11-18,40.21,IT
Italy,walking,2020-11-18,47.69,IT
Italy,driving,2020-11-19,61.53,IT
Italy,transit,2020-11-19,39.89,IT
Italy,walking,2020-11-19,47.83,IT
Italy,driving,2020-11-20,60.86,IT
Italy,transit,2020-11-20,39.01,IT
