areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Northern Ireland,N92000002,2022-01-06,6877,446502
nation,Northern Ireland,N92000002,2022-01-05,7133,439625
nation,Northern Ireland,N92000002,2022-01-04,30423,432492
nation,Northern Ireland,N92000002,2022-01-03,0,402069
nation,Northern Ireland,N92000002,2022-01-02,0,402069
nation,Northern Ireland,N92000002,2022-01-01,0,402069
nation,Northern Ireland,N92000002,2021-12-31,7215,402069
nation,Northern Ireland,N92000002,2021-12-30,4701,394854
nation,Northern Ireland,N92000002,2021-12-29,22972,390153
nation,Northern Ireland,N92000002,2021-12-28,0,367181
nation,Northern Ireland,N92000002,2021-12-27,0,367181
nation,Northern Ireland,N92000002,2021-12-26,0,367181
nation,Northern Ireland,N92000002,2021-12-25,0,367181
nation,Northern Ireland,N92000002,2021-12-24,3286,367181
nation,Northern Ireland,N92000002,2021-12-23,3227,363895
nation,Northern Ireland,N92000002,2021-12-22,3231,360668
nation,Northern Ireland,N92000002,2021-12-21,2096,357437
nation,Northern Ireland,N92000002,2021-12-20,2148,355341
nation,Northern Ireland,N92000002,2021-12-19,1798,353193
nation,Northern Ireland,N92000002,2021-12-18,2075,351395
nation,Northern Ireland,N92000002,2021-12-17,1887,349320
nation,Northern Ireland,N92000002,2021-12-16,2237,347433
nation,Northern Ireland,N92000002,2021-12-15,2156,345196
nation,Northern Ireland,N92000002,2021-12-14,1581,343040
nation,Northern Ireland,N92000002,2021-12-13,1431,341459
nation,Northern Ireland,N92000002,2021-12-12,1548,340028
nation,Northern Ireland,N92000002,2021-12-11,1446,338480
nation,Northern Ireland,N92000002,2021-12-10,1806,337034
nation,Northern Ireland,N92000002,2021-12-09,1819,335228
nation,Northern Ireland,N92000002,2021-12-08,1933,333409
nation,Northern Ireland,N92000002,2021-12-07,1658,331476
nation,Northern Ireland,N92000002,2021-12-06,1635,329818
nation,Northern Ireland,N92000002,2021-12-05,1422,328183
nation,Northern Ireland,N92000002,2021-12-04,1642,326761
nation,Northern Ireland,N92000002,2021-12-03,1908,325119
nation,Northern Ireland,N92000002,2021-12-02,2272,323211
nation,Northern Ireland,N92000002,2021-12-01,1992,320939
nation,Northern Ireland,N92000002,2021-11-30,1585,318947
nation,Northern Ireland,N92000002,2021-11-29,1464,317362
nation,Northern Ireland,N92000002,2021-11-28,1405,315898
nation,Northern Ireland,N92000002,2021-11-27,1482,314493
nation,Northern Ireland,N92000002,2021-11-26,2004,313011
nation,Northern Ireland,N92000002,2021-11-25,1549,311007
nation,Northern Ireland,N92000002,2021-11-24,1931,309458
nation,Northern Ireland,N92000002,2021-11-23,1476,307527
nation,Northern Ireland,N92000002,2021-11-22,1469,306051
nation,Northern Ireland,N92000002,2021-11-21,1406,304582
nation,Northern Ireland,N92000002,2021-11-20,1846,303176
nation,Northern Ireland,N92000002,2021-11-19,1690,301330
nation,Northern Ireland,N92000002,2021-11-18,1681,299640
nation,Northern Ireland,N92000002,2021-11-17,1848,297959
nation,Northern Ireland,N92000002,2021-11-16,1698,296111
nation,Northern Ireland,N92000002,2021-11-15,1457,294413
nation,Northern Ireland,N92000002,2021-11-14,1377,292956
nation,Northern Ireland,N92000002,2021-11-13,1806,291579
nation,Northern Ireland,N92000002,2021-11-12,1087,289773
nation,Northern Ireland,N92000002,2021-11-11,1462,288686
nation,Northern Ireland,N92000002,2021-11-10,1765,287224
nation,Northern Ireland,N92000002,2021-11-09,1228,285459
nation,Northern Ireland,N92000002,2021-11-08,1028,284231
nation,Northern Ireland,N92000002,2021-11-07,1035,283203
nation,Northern Ireland,N92000002,2021-11-06,1194,282168
nation,Northern Ireland,N92000002,2021-11-05,1164,280974
nation,Northern Ireland,N92000002,2021-11-04,1481,279810
nation,Northern Ireland,N92000002,2021-11-03,995,278329
