country,transportation_type,date,mobility
Wales,walking,2020-02-01,181.46
Wales,transit,2020-02-01,96.58
England,driving,2020-02-02,96.94
England,walking,2020-02-02,103.3
England,transit,2020-02-02,105.77
NorthernIreland,driving,2020-02-02,92.6
NorthernIreland,walking,2020-02-02,97.39
NorthernIreland,transit,2020-02-02,91.04
Scotland,driving,2020-02-02,96.54
Scotland,walking,2020-02-02,102.75
Scotland,transit,2020-02-02,103.49
Wales,driving,2020-02-02,95.38
Wales,walking,2020-02-02,99.12
Wales,transit,2020-02-02,88.39
England,driving,2020-02-03,100.55
England,walking,2020-02-03,106.87
England,transit,2020-02-03,104.23
NorthernIreland,driving,2020-02-03,104
NorthernIreland,walking,2020-02-03,110.04
NorthernIreland,transit,2020-02-03,92.52
Scotland,driving,2020-02-03,102.39
Scotland,walking,2020-02-03,104.25
Scotland,transit,2020-02-03,103.9
Wales,driving,2020-02-03,102.14
Wales,walking,2020-02-03,108.31
Wales,transit,2020-02-03,95.9
England,driving,2020-02-04,106.42
England,walking,2020-02-04,115.82
England,transit,2020-02-04,107.01
NorthernIreland,driving,2020-02-04,108.67
NorthernIreland,walking,2020-02-04,118.77
NorthernIreland,transit,2020-02-04,91.62
Scotland,driving,2020-02-04,106.61
Scotland,walking,2020-02-04,115.76
Scotland,transit,2020-02-04,107.21
Wales,driving,2020-02-04,110.84
Wales,walking,2020-02-04,115.34
Wales,transit,2020-02-04,94.37
England,driving,2020-02-05,107.7
England,walking,2020-02-05,124.13
England,transit,2020-02-05,109.58
NorthernIreland,driving,2020-02-05,110.87
NorthernIreland,walking,2020-02-05,128.25
NorthernIreland,transit,2020-02-05,101.85
Scotland,driving,2020-02-05,110.43
Scotland,walking,2020-02-05,123.82
Scotland,transit,2020-02-05,109.81
Wales,driving,2020-02-05,104.48
Wales,walking,2020-02-05,125.85
Wales,transit,2020-02-05,93.78
England,driving,2020-02-06,107.3
England,walking,2020-02-06,124.11
England,transit,2020-02-06,108.69
NorthernIreland,driving,2020-02-06,110.48
NorthernIreland,walking,2020-02-06,126.7
NorthernIreland,transit,2020-02-06,104.52
Scotland,driving,2020-02-06,108.21
Scotland,walking,2020-02-06,121.78
Scotland,transit,2020-02-06,108.75
Wales,driving,2020-02-06,104.54
Wales,walking,2020-02-06,117.08
Wales,transit,2020-02-06,92.31
England,driving,2020-02-07,114.1
England,walking,2020-02-07,141.16
England,transit,2020-02-07,116.47
NorthernIreland,driving,2020-02-07,121.02
NorthernIreland,walking,2020-02-07,140.15
NorthernIreland,transit,2020-02-07,96.22
Scotland,driving,2020-02-07,122.01
Scotland,walking,2020-02-07,152.35
Scotland,transit,2020-02-07,115.32
Wales,driving,2020-02-07,115.42
Wales,walking,2020-02-07,139.92
Wales,transit,2020-02-07,99.75
England,driving,2020-02-08,111.26
England,walking,2020-02-08,169.07
England,transit,2020-02-08,122.77
NorthernIreland,driving,2020-02-08,114.98
NorthernIreland,walking,2020-02-08,156.8
NorthernIreland,transit,2020-02-08,91.74
Scotland,driving,2020-02-08,118.97
Scotland,walking,2020-02-08,177.15
