areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Wales,W92000004,2021-12-19,3462,553163
nation,Wales,W92000004,2021-12-18,0,549702
nation,Wales,W92000004,2021-12-17,3129,549702
nation,Wales,W92000004,2021-12-16,2889,546573
nation,Wales,W92000004,2021-12-15,2431,543685
nation,Wales,W92000004,2021-12-14,1819,541254
nation,Wales,W92000004,2021-12-13,4543,539435
nation,Wales,W92000004,2021-12-12,2591,534893
nation,Wales,W92000004,2021-12-11,0,532302
nation,Wales,W92000004,2021-12-10,2462,532302
nation,Wales,W92000004,2021-12-09,2302,529840
nation,Wales,W92000004,2021-12-08,2313,527538
nation,Wales,W92000004,2021-12-07,2107,525225
nation,Wales,W92000004,2021-12-06,4405,523118
nation,Wales,W92000004,2021-12-05,2567,518713
nation,Wales,W92000004,2021-12-04,0,516146
nation,Wales,W92000004,2021-12-03,2356,516146
nation,Wales,W92000004,2021-12-02,2791,513790
nation,Wales,W92000004,2021-12-01,2067,510999
nation,Wales,W92000004,2021-11-30,1972,508932
nation,Wales,W92000004,2021-11-29,3969,506960
nation,Wales,W92000004,2021-11-28,1963,502991
nation,Wales,W92000004,2021-11-27,0,501028
nation,Wales,W92000004,2021-11-26,2927,501028
nation,Wales,W92000004,2021-11-25,2377,498101
nation,Wales,W92000004,2021-11-24,2154,495724
nation,Wales,W92000004,2021-11-23,1931,493571
nation,Wales,W92000004,2021-11-22,4489,491640
nation,Wales,W92000004,2021-11-21,2408,487152
nation,Wales,W92000004,2021-11-20,0,484744
nation,Wales,W92000004,2021-11-19,2456,484744
nation,Wales,W92000004,2021-11-18,2576,482288
nation,Wales,W92000004,2021-11-17,2417,479712
nation,Wales,W92000004,2021-11-16,1921,477295
nation,Wales,W92000004,2021-11-15,4520,475375
nation,Wales,W92000004,2021-11-14,2659,470856
nation,Wales,W92000004,2021-11-13,0,468197
nation,Wales,W92000004,2021-11-12,2784,468197
nation,Wales,W92000004,2021-11-11,2134,465413
nation,Wales,W92000004,2021-11-10,2171,463279
nation,Wales,W92000004,2021-11-09,1784,461109
nation,Wales,W92000004,2021-11-08,4303,459325
nation,Wales,W92000004,2021-11-07,2583,455023
nation,Wales,W92000004,2021-11-06,0,452440
nation,Wales,W92000004,2021-11-05,1986,452440
nation,Wales,W92000004,2021-11-04,2799,450455
nation,Wales,W92000004,2021-11-03,2492,447655
nation,Wales,W92000004,2021-11-02,2210,445163
nation,Wales,W92000004,2021-11-01,4983,442953
nation,Wales,W92000004,2021-10-31,3016,437972
nation,Wales,W92000004,2021-10-30,0,434956
nation,Wales,W92000004,2021-10-29,2561,434956
nation,Wales,W92000004,2021-10-28,2664,432395
nation,Wales,W92000004,2021-10-27,2582,429731
nation,Wales,W92000004,2021-10-26,5288,427150
nation,Wales,W92000004,2021-10-25,0,418980
nation,Wales,W92000004,2021-10-24,3152,418980
nation,Wales,W92000004,2021-10-23,0,415829
nation,Wales,W92000004,2021-10-22,3296,415829
nation,Wales,W92000004,2021-10-21,4240,412534
nation,Wales,W92000004,2021-10-20,3450,408294
nation,Wales,W92000004,2021-10-19,3200,404844
nation,Wales,W92000004,2021-10-18,6398,401644
nation,Wales,W92000004,2021-10-17,2965,395247
nation,Wales,W92000004,2021-10-16,0,392282
nation,Wales,W92000004,2021-10-15,3130,392282
nation,Wales,W92000004,2021-10-14,2635,389152
nation,Wales,W92000004,2021-10-13,2266,386516
nation,Wales,W92000004,2021-10-12,2047,384250
nation,Wales,W92000004,2021-10-11,4469,382203
nation,Wales,W92000004,2021-10-10,0,377734
nation,Wales,W92000004,2021-10-09,0,377734
nation,Wales,W92000004,2021-10-08,5705,377734
nation,Wales,W92000004,2021-10-07,3400,372029
nation,Wales,W92000004,2021-10-06,2007,368629
nation,Wales,W92000004,2021-10-05,1758,366624
nation,Wales,W92000004,2021-10-04,3986,364866
nation,Wales,W92000004,2021-10-03,2331,360881
nation,Wales,W92000004,2021-10-02,0,358550
nation,Wales,W92000004,2021-10-01,3009,358550
nation,Wales,W92000004,2021-09-30,2580,355542
nation,Wales,W92000004,2021-09-29,3369,352939
nation,Wales,W92000004,2021-09-28,2270,349570
nation,Wales,W92000004,2021-09-27,5659,347300
nation,Wales,W92000004,2021-09-26,3303,341641
nation,Wales,W92000004,2021-09-25,0,338338
nation,Wales,W92000004,2021-09-24,2727,338338
nation,Wales,W92000004,2021-09-23,2476,335611
nation,Wales,W92000004,2021-09-22,2485,333135
nation,Wales,W92000004,2021-09-21,2576,330650
nation,Wales,W92000004,2021-09-20,5258,328074
