areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,Scotland,S92000003,2022-01-06,20,12654
nation,Scotland,S92000003,2022-01-05,12,12634
nation,Scotland,S92000003,2022-01-04,24,12622
nation,Scotland,S92000003,2022-01-03,8,12598
nation,Scotland,S92000003,2022-01-02,9,12590
nation,Scotland,S92000003,2022-01-01,10,12581
nation,Scotland,S92000003,2021-12-31,10,12571
nation,Scotland,S92000003,2021-12-30,10,12561
nation,Scotland,S92000003,2021-12-29,11,12551
nation,Scotland,S92000003,2021-12-28,19,12540
nation,Scotland,S92000003,2021-12-27,8,12521
nation,Scotland,S92000003,2021-12-26,4,12513
nation,Scotland,S92000003,2021-12-25,9,12509
nation,Scotland,S92000003,2021-12-24,6,12500
nation,Scotland,S92000003,2021-12-23,6,12494
nation,Scotland,S92000003,2021-12-22,8,12488
nation,Scotland,S92000003,2021-12-21,15,12480
nation,Scotland,S92000003,2021-12-20,13,12465
nation,Scotland,S92000003,2021-12-19,6,12452
nation,Scotland,S92000003,2021-12-18,5,12446
nation,Scotland,S92000003,2021-12-17,4,12441
nation,Scotland,S92000003,2021-12-16,10,12437
nation,Scotland,S92000003,2021-12-15,6,12427
nation,Scotland,S92000003,2021-12-14,10,12421
nation,Scotland,S92000003,2021-12-13,7,12411
nation,Scotland,S92000003,2021-12-12,9,12404
nation,Scotland,S92000003,2021-12-11,9,12395
nation,Scotland,S92000003,2021-12-10,9,12386
nation,Scotland,S92000003,2021-12-09,11,12377
nation,Scotland,S92000003,2021-12-08,10,12366
nation,Scotland,S92000003,2021-12-07,21,12356
nation,Scotland,S92000003,2021-12-06,17,12335
nation,Scotland,S92000003,2021-12-05,10,12318
nation,Scotland,S92000003,2021-12-04,14,12308
nation,Scotland,S92000003,2021-12-03,10,12294
nation,Scotland,S92000003,2021-12-02,15,12284
nation,Scotland,S92000003,2021-12-01,14,12269
nation,Scotland,S92000003,2021-11-30,5,12255
nation,Scotland,S92000003,2021-11-29,17,12250
nation,Scotland,S92000003,2021-11-28,18,12233
nation,Scotland,S92000003,2021-11-27,18,12215
nation,Scotland,S92000003,2021-11-26,14,12197
nation,Scotland,S92000003,2021-11-25,11,12183
nation,Scotland,S92000003,2021-11-24,6,12172
nation,Scotland,S92000003,2021-11-23,14,12166
nation,Scotland,S92000003,2021-11-22,17,12152
nation,Scotland,S92000003,2021-11-21,11,12135
nation,Scotland,S92000003,2021-11-20,12,12124
nation,Scotland,S92000003,2021-11-19,11,12112
nation,Scotland,S92000003,2021-11-18,12,12101
nation,Scotland,S92000003,2021-11-17,14,12089
nation,Scotland,S92000003,2021-11-16,11,12075
nation,Scotland,S92000003,2021-11-15,18,12064
nation,Scotland,S92000003,2021-11-14,15,12046
nation,Scotland,S92000003,2021-11-13,12,12031
nation,Scotland,S92000003,2021-11-12,17,12019
nation,Scotland,S92000003,2021-11-11,12,12002
nation,Scotland,S92000003,2021-11-10,14,11990
nation,Scotland,S92000003,2021-11-09,7,11976
nation,Scotland,S92000003,2021-11-08,15,11969
nation,Scotland,S92000003,2021-11-07,16,11954
nation,Scotland,S92000003,2021-11-06,19,11938
nation,Scotland,S92000003,2021-11-05,17,11919
nation,Scotland,S92000003,2021-11-04,23,11902
nation,Scotland,S92000003,2021-11-03,22,11879
nation,Scotland,S92000003,2021-11-02,16,11857
nation,Scotland,S92000003,2021-11-01,29,11841
nation,Scotland,S92000003,2021-10-31,15,11812
nation,Scotland,S92000003,2021-10-30,18,11797
nation,Scotland,S92000003,2021-10-29,24,11779
nation,Scotland,S92000003,2021-10-28,23,11755
nation,Scotland,S92000003,2021-10-27,14,11732
nation,Scotland,S92000003,2021-10-26,23,11718
nation,Scotland,S92000003,2021-10-25,14,11695
nation,Scotland,S92000003,2021-10-24,26,11681
nation,Scotland,S92000003,2021-10-23,25,11655
nation,Scotland,S92000003,2021-10-22,18,11630
nation,Scotland,S92000003,2021-10-21,23,11612
nation,Scotland,S92000003,2021-10-20,19,11589
nation,Scotland,S92000003,2021-10-19,14,11570
nation,Scotland,S92000003,2021-10-18,16,11556
nation,Scotland,S92000003,2021-10-17,16,11540
nation,Scotland,S92000003,2021-10-16,21,11524
nation,Scotland,S92000003,2021-10-15,14,11503
nation,Scotland,S92000003,2021-10-14,21,11489
nation,Scotland,S92000003,2021-10-13,17,11468
nation,Scotland,S92000003,2021-10-12,20,11451
nation,Scotland,S92000003,2021-10-11,27,11431
nation,Scotland,S92000003,2021-10-10,17,11404
nation,Scotland,S92000003,2021-10-09,15,11387
nation,Scotland,S92000003,2021-10-08,13,11372
nation,Scotland,S92000003,2021-10-07,20,11359
nation,Scotland,S92000003,2021-10-06,13,11339
nation,Scotland,S92000003,2021-10-05,28,11326
nation,Scotland,S92000003,2021-10-04,16,11298
nation,Scotland,S92000003,2021-10-03,18,11282
nation,Scotland,S92000003,2021-10-02,24,11264
nation,Scotland,S92000003,2021-10-01,19,11240
nation,Scotland,S92000003,2021-09-30,16,11221
nation,Scotland,S92000003,2021-09-29,24,11205
nation,Scotland,S92000003,2021-09-28,20,11181
nation,Scotland,S92000003,2021-09-27,25,11161
nation,Scotland,S92000003,2021-09-26,18,11136
nation,Scotland,S92000003,2021-09-25,22,11118
nation,Scotland,S92000003,2021-09-24,22,11096
nation,Scotland,S92000003,2021-09-23,20,11074
nation,Scotland,S92000003,2021-09-22,30,11054
nation,Scotland,S92000003,2021-09-21,24,11024
nation,Scotland,S92000003,2021-09-20,24,11000
nation,Scotland,S92000003,2021-09-19,30,10976
nation,Scotland,S92000003,2021-09-18,23,10946
nation,Scotland,S92000003,2021-09-17,23,10923
nation,Scotland,S92000003,2021-09-16,19,10900
nation,Scotland,S92000003,2021-09-15,19,10881
nation,Scotland,S92000003,2021-09-14,24,10862
nation,Scotland,S92000003,2021-09-13,21,10838
nation,Scotland,S92000003,2021-09-12,20,10817
nation,Scotland,S92000003,2021-09-11,20,10797
nation,Scotland,S92000003,2021-09-10,24,10777
nation,Scotland,S92000003,2021-09-09,19,10753
nation,Scotland,S92000003,2021-09-08,11,10734
nation,Scotland,S92000003,2021-09-07,19,10723
nation,Scotland,S92000003,2021-09-06,14,10704
nation,Scotland,S92000003,2021-09-05,17,10690
nation,Scotland,S92000003,2021-09-04,10,10673
nation,Scotland,S92000003,2021-09-03,11,10663
nation,Scotland,S92000003,2021-09-02,10,10652
nation,Scotland,S92000003,2021-09-01,9,10642
nation,Scotland,S92000003,2021-08-31,10,10633
nation,Scotland,S92000003,2021-08-30,5,10623
nation,Scotland,S92000003,2021-08-29,8,10618
nation,Scotland,S92000003,2021-08-28,9,10610
nation,Scotland,S92000003,2021-08-27,11,10601
nation,Scotland,S92000003,2021-08-26,7,10590
nation,Scotland,S92000003,2021-08-25,7,10583
nation,Scotland,S92000003,2021-08-24,4,10576
nation,Scotland,S92000003,2021-08-23,9,10572
nation,Scotland,S92000003,2021-08-22,6,10563
nation,Scotland,S92000003,2021-08-21,5,10557
nation,Scotland,S92000003,2021-08-20,8,10552
nation,Scotland,S92000003,2021-08-19,7,10544
nation,Scotland,S92000003,2021-08-18,7,10537
nation,Scotland,S92000003,2021-08-17,4,10530
nation,Scotland,S92000003,2021-08-16,4,10526
nation,Scotland,S92000003,2021-08-15,7,10522
nation,Scotland,S92000003,2021-08-14,8,10515
nation,Scotland,S92000003,2021-08-13,10,10507
nation,Scotland,S92000003,2021-08-12,3,10497
nation,Scotland,S92000003,2021-08-11,5,10494
nation,Scotland,S92000003,2021-08-10,5,10489
nation,Scotland,S92000003,2021-08-09,6,10484
nation,Scotland,S92000003,2021-08-08,7,10478
nation,Scotland,S92000003,2021-08-07,9,10471
nation,Scotland,S92000003,2021-08-06,7,10462
nation,Scotland,S92000003,2021-08-05,7,10455
nation,Scotland,S92000003,2021-08-04,7,10448
nation,Scotland,S92000003,2021-08-03,3,10441
nation,Scotland,S92000003,2021-08-02,7,10438
nation,Scotland,S92000003,2021-08-01,12,10431
nation,Scotland,S92000003,2021-07-31,7,10419
nation,Scotland,S92000003,2021-07-30,7,10412
nation,Scotland,S92000003,2021-07-29,6,10405
nation,Scotland,S92000003,2021-07-28,7,10399
nation,Scotland,S92000003,2021-07-27,9,10392
nation,Scotland,S92000003,2021-07-26,6,10383
nation,Scotland,S92000003,2021-07-25,5,10377
nation,Scotland,S92000003,2021-07-24,2,10372
nation,Scotland,S92000003,2021-07-23,8,10370
nation,Scotland,S92000003,2021-07-22,8,10362
nation,Scotland,S92000003,2021-07-21,9,10354
nation,Scotland,S92000003,2021-07-20,6,10345
nation,Scotland,S92000003,2021-07-19,9,10339
nation,Scotland,S92000003,2021-07-18,9,10330
nation,Scotland,S92000003,2021-07-17,6,10321
nation,Scotland,S92000003,2021-07-16,5,10315
nation,Scotland,S92000003,2021-07-15,8,10310
nation,Scotland,S92000003,2021-07-14,7,10302
nation,Scotland,S92000003,2021-07-13,8,10295
nation,Scotland,S92000003,2021-07-12,7,10287
nation,Scotland,S92000003,2021-07-11,5,10280
nation,Scotland,S92000003,2021-07-10,9,10275
nation,Scotland,S92000003,2021-07-09,8,10266
nation,Scotland,S92000003,2021-07-08,11,10258
nation,Scotland,S92000003,2021-07-07,6,10247
nation,Scotland,S92000003,2021-07-06,13,10241
nation,Scotland,S92000003,2021-07-05,6,10228
nation,Scotland,S92000003,2021-07-04,5,10222
nation,Scotland,S92000003,2021-07-03,2,10217
nation,Scotland,S92000003,2021-07-02,3,10215
nation,Scotland,S92000003,2021-07-01,2,10212
nation,Scotland,S92000003,2021-06-30,3,10210
nation,Scotland,S92000003,2021-06-29,3,10207
nation,Scotland,S92000003,2021-06-28,5,10204
nation,Scotland,S92000003,2021-06-27,4,10199
nation,Scotland,S92000003,2021-06-26,7,10195
nation,Scotland,S92000003,2021-06-25,1,10188
nation,Scotland,S92000003,2021-06-24,3,10187
nation,Scotland,S92000003,2021-06-23,1,10184
nation,Scotland,S92000003,2021-06-22,5,10183
nation,Scotland,S92000003,2021-06-21,1,10178
nation,Scotland,S92000003,2021-06-20,2,10177
nation,Scotland,S92000003,2021-06-19,2,10175
nation,Scotland,S92000003,2021-06-18,3,10173
nation,Scotland,S92000003,2021-06-17,2,10170
nation,Scotland,S92000003,2021-06-16,1,10168
nation,Scotland,S92000003,2021-06-15,6,10167
nation,Scotland,S92000003,2021-06-14,1,10161
nation,Scotland,S92000003,2021-06-13,3,10160
nation,Scotland,S92000003,2021-06-12,0,10157
nation,Scotland,S92000003,2021-06-11,1,10157
nation,Scotland,S92000003,2021-06-10,0,10156
nation,Scotland,S92000003,2021-06-09,3,10156
nation,Scotland,S92000003,2021-06-08,1,10153
nation,Scotland,S92000003,2021-06-07,1,10152
nation,Scotland,S92000003,2021-06-06,1,10151
nation,Scotland,S92000003,2021-06-05,1,10150
nation,Scotland,S92000003,2021-06-04,1,10149
nation,Scotland,S92000003,2021-06-03,2,10148
nation,Scotland,S92000003,2021-06-02,1,10146
nation,Scotland,S92000003,2021-06-01,1,10145
nation,Scotland,S92000003,2021-05-31,0,10144
nation,Scotland,S92000003,2021-05-30,1,10144
nation,Scotland,S92000003,2021-05-29,3,10143
nation,Scotland,S92000003,2021-05-28,1,10140
nation,Scotland,S92000003,2021-05-27,0,10139
nation,Scotland,S92000003,2021-05-26,1,10139
nation,Scotland,S92000003,2021-05-25,2,10138
nation,Scotland,S92000003,2021-05-24,1,10136
nation,Scotland,S92000003,2021-05-23,1,10135
nation,Scotland,S92000003,2021-05-22,1,10134
nation,Scotland,S92000003,2021-05-21,0,10133
nation,Scotland,S92000003,2021-05-20,1,10133
nation,Scotland,S92000003,2021-05-19,0,10132
nation,Scotland,S92000003,2021-05-18,0,10132
nation,Scotland,S92000003,2021-05-17,2,10132
nation,Scotland,S92000003,2021-05-16,1,10130
nation,Scotland,S92000003,2021-05-15,0,10129
nation,Scotland,S92000003,2021-05-14,2,10129
nation,Scotland,S92000003,2021-05-13,2,10127
nation,Scotland,S92000003,2021-05-12,2,10125
nation,Scotland,S92000003,2021-05-11,0,10123
nation,Scotland,S92000003,2021-05-10,1,10123
nation,Scotland,S92000003,2021-05-09,0,10122
nation,Scotland,S92000003,2021-05-08,0,10122
nation,Scotland,S92000003,2021-05-07,0,10122
nation,Scotland,S92000003,2021-05-06,1,10122
nation,Scotland,S92000003,2021-05-05,1,10121
nation,Scotland,S92000003,2021-05-04,1,10120
nation,Scotland,S92000003,2021-05-03,0,10119
nation,Scotland,S92000003,2021-05-02,2,10119
nation,Scotland,S92000003,2021-05-01,1,10117
nation,Scotland,S92000003,2021-04-30,0,10116
nation,Scotland,S92000003,2021-04-29,2,10116
nation,Scotland,S92000003,2021-04-28,2,10114
nation,Scotland,S92000003,2021-04-27,1,10112
nation,Scotland,S92000003,2021-04-26,2,10111
nation,Scotland,S92000003,2021-04-25,3,10109
nation,Scotland,S92000003,2021-04-24,2,10106
nation,Scotland,S92000003,2021-04-23,3,10104
nation,Scotland,S92000003,2021-04-22,2,10101
nation,Scotland,S92000003,2021-04-21,7,10099
nation,Scotland,S92000003,2021-04-20,3,10092
nation,Scotland,S92000003,2021-04-19,3,10089
nation,Scotland,S92000003,2021-04-18,1,10086
nation,Scotland,S92000003,2021-04-17,4,10085
nation,Scotland,S92000003,2021-04-16,1,10081
nation,Scotland,S92000003,2021-04-15,4,10080
nation,Scotland,S92000003,2021-04-14,2,10076
nation,Scotland,S92000003,2021-04-13,6,10074
nation,Scotland,S92000003,2021-04-12,0,10068
nation,Scotland,S92000003,2021-04-11,4,10068
nation,Scotland,S92000003,2021-04-10,5,10064
nation,Scotland,S92000003,2021-04-09,2,10059
nation,Scotland,S92000003,2021-04-08,4,10057
nation,Scotland,S92000003,2021-04-07,5,10053
nation,Scotland,S92000003,2021-04-06,3,10048
