"country","date","proportion"
"Northern Ireland","2021-01-17",77.23
"Northern Ireland","2021-01-18",78.2
"Northern Ireland","2021-01-19",77.37
"Northern Ireland","2021-01-20",76.54
"Northern Ireland","2021-01-21",75.71
"Northern Ireland","2021-01-22",74.89
"Northern Ireland","2021-01-23",74.06
"Northern Ireland","2021-01-24",73.23
"Northern Ireland","2021-01-25",72.4
"Northern Ireland","2021-01-26",75.73
"Northern Ireland","2021-01-27",79.06
"Northern Ireland","2021-01-28",82.39
"Northern Ireland","2021-01-29",85.71
"Northern Ireland","2021-01-30",89.04
"Northern Ireland","2021-01-31",92.37
"Northern Ireland","2021-02-01",95.7
"Northern Ireland","2021-02-02",94.73
"Northern Ireland","2021-02-03",93.76
"Northern Ireland","2021-02-04",92.79
"Northern Ireland","2021-02-05",91.81
"Northern Ireland","2021-02-06",90.84
"Northern Ireland","2021-02-07",89.87
"Northern Ireland","2021-02-08",88.9
"Northern Ireland","2021-02-09",89.37
"Northern Ireland","2021-02-10",89.84
"Northern Ireland","2021-02-11",90.31
"Northern Ireland","2021-02-12",90.79
"Northern Ireland","2021-02-13",91.26
"Northern Ireland","2021-02-14",91.73
"Northern Ireland","2021-02-15",92.2
"Northern Ireland","2021-02-16",93.31
"Northern Ireland","2021-02-17",94.43
"Northern Ireland","2021-02-18",95.54
"Northern Ireland","2021-02-19",96.66
"Northern Ireland","2021-02-20",97.77
"Northern Ireland","2021-02-21",98.89
"Northern Ireland","2021-02-22",100
"Northern Ireland","2021-02-23",98.03
"Northern Ireland","2021-02-24",96.06
"Northern Ireland","2021-02-25",94.09
"Northern Ireland","2021-02-26",92.11
"Northern Ireland","2021-02-27",90.14
"Northern Ireland","2021-02-28",88.17
"Northern Ireland","2021-03-01",86.2
"Northern Ireland","2021-03-02",88.17
"Northern Ireland","2021-03-03",90.14
"Northern Ireland","2021-03-04",92.11
"Northern Ireland","2021-03-05",94.09
"Northern Ireland","2021-03-06",96.06
"Northern Ireland","2021-03-07",98.03
"Northern Ireland","2021-03-08",100
"Scotland","2020-10-05",0
"Scotland","2020-10-06",0
"Scotland","2020-10-07",0
"Scotland","2020-10-08",0
"Scotland","2020-10-09",0
"Scotland","2020-10-10",0
"Scotland","2020-10-11",0
"Scotland","2020-10-12",0
"Scotland","2020-10-13",0.04
"Scotland","2020-10-14",0.09
"Scotland","2020-10-15",0.13
"Scotland","2020-10-16",0.17
"Scotland","2020-10-17",0.21
"Scotland","2020-10-18",0.26
"Scotland","2020-10-19",0.3
"Scotland","2020-10-20",0.39
"Scotland","2020-10-21",0.47
"Scotland","2020-10-22",0.56
"Scotland","2020-10-23",0.64
"Scotland","2020-10-24",0.73
"Scotland","2020-10-25",0.81
"Scotland","2020-10-26",0.9
"Scotland","2020-10-27",1.13
"Scotland","2020-10-28",1.36
"Scotland","2020-10-29",1.59
"Scotland","2020-10-30",1.81
"Scotland","2020-10-31",2.04
"Scotland","2020-11-01",2.27
"Scotland","2020-11-02",2.5
"Scotland","2020-11-03",2.99
"Scotland","2020-11-04",3.47
"Scotland","2020-11-05",3.96
"Scotland","2020-11-06",4.44
"Scotland","2020-11-07",4.93
"Scotland","2020-11-08",5.41
"Scotland","2020-11-09",5.9
"Scotland","2020-11-10",6.41
"Scotland","2020-11-11",6.93
"Scotland","2020-11-12",7.44
"Scotland","2020-11-13",7.96
"Scotland","2020-11-14",8.47
"Scotland","2020-11-15",8.99
"Scotland","2020-11-16",9.5
"Scotland","2020-11-17",9.53
"Scotland","2020-11-18",9.56
"Scotland","2020-11-19",9.59
"Scotland","2020-11-20",9.61
"Scotland","2020-11-21",9.64
"Scotland","2020-11-22",9.67
"Scotland","2020-11-23",9.7
