areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Scotland,S92000003,2022-02-09,3796,1179974
nation,Scotland,S92000003,2022-02-08,2664,1176188
nation,Scotland,S92000003,2022-02-07,2535,1173535
nation,Scotland,S92000003,2022-02-06,3242,1171004
nation,Scotland,S92000003,2022-02-05,2915,1167763
nation,Scotland,S92000003,2022-02-04,4429,1164870
nation,Scotland,S92000003,2022-02-03,4355,1160448
nation,Scotland,S92000003,2022-02-02,4509,1156123
nation,Scotland,S92000003,2022-02-01,2848,1151614
nation,Scotland,S92000003,2022-01-31,1961,1148772
nation,Scotland,S92000003,2022-01-30,3539,1146815
nation,Scotland,S92000003,2022-01-29,3342,1143275
nation,Scotland,S92000003,2022-01-28,3956,1139939
nation,Scotland,S92000003,2022-01-27,4333,1135991
nation,Scotland,S92000003,2022-01-26,4615,1131668
nation,Scotland,S92000003,2022-01-25,3024,1127067
nation,Scotland,S92000003,2022-01-24,2956,1124048
nation,Scotland,S92000003,2022-01-23,3518,1121094
nation,Scotland,S92000003,2022-01-22,3456,1117515
nation,Scotland,S92000003,2022-01-21,3890,1114066
nation,Scotland,S92000003,2022-01-20,4743,1110186
nation,Scotland,S92000003,2022-01-19,4937,1105454
nation,Scotland,S92000003,2022-01-18,3507,1100526
nation,Scotland,S92000003,2022-01-17,2910,1097158
nation,Scotland,S92000003,2022-01-16,4117,1094251
nation,Scotland,S92000003,2022-01-15,4469,1090144
nation,Scotland,S92000003,2022-01-14,5977,1085696
nation,Scotland,S92000003,2022-01-13,5186,1079729
nation,Scotland,S92000003,2022-01-12,7606,1074591
nation,Scotland,S92000003,2022-01-11,10392,1067028
nation,Scotland,S92000003,2022-01-10,11827,1056837
nation,Scotland,S92000003,2022-01-09,7561,1045109
nation,Scotland,S92000003,2022-01-08,12602,1037622
nation,Scotland,S92000003,2022-01-07,14486,1025063
nation,Scotland,S92000003,2022-01-06,11360,1010660
nation,Scotland,S92000003,2022-01-05,16103,999324
nation,Scotland,S92000003,2022-01-04,17259,983270
nation,Scotland,S92000003,2022-01-03,20217,966027
nation,Scotland,S92000003,2022-01-02,14080,945871
nation,Scotland,S92000003,2022-01-01,17065,931852
nation,Scotland,S92000003,2021-12-31,11962,914841
nation,Scotland,S92000003,2021-12-30,16857,902889
nation,Scotland,S92000003,2021-12-29,15849,886065
nation,Scotland,S92000003,2021-12-28,9360,870304
nation,Scotland,S92000003,2021-12-27,10562,860964
nation,Scotland,S92000003,2021-12-26,11030,850411
nation,Scotland,S92000003,2021-12-25,8252,839391
nation,Scotland,S92000003,2021-12-24,7076,831158
nation,Scotland,S92000003,2021-12-23,6215,824088
nation,Scotland,S92000003,2021-12-22,5967,814359
nation,Scotland,S92000003,2021-12-21,5242,811927
nation,Scotland,S92000003,2021-12-20,6734,806695
nation,Scotland,S92000003,2021-12-19,5924,799970
nation,Scotland,S92000003,2021-12-18,5917,794062
nation,Scotland,S92000003,2021-12-17,4336,788156
nation,Scotland,S92000003,2021-12-16,5951,783828
nation,Scotland,S92000003,2021-12-15,5155,777885
nation,Scotland,S92000003,2021-12-14,3117,772738
nation,Scotland,S92000003,2021-12-13,3756,769642
nation,Scotland,S92000003,2021-12-12,4002,765889
nation,Scotland,S92000003,2021-12-11,4087,761889
nation,Scotland,S92000003,2021-12-10,5018,757813
nation,Scotland,S92000003,2021-12-09,3196,752805
nation,Scotland,S92000003,2021-12-08,3077,749620
nation,Scotland,S92000003,2021-12-07,3060,746549
nation,Scotland,S92000003,2021-12-06,3894,743496
nation,Scotland,S92000003,2021-12-05,2607,739610
nation,Scotland,S92000003,2021-12-04,1257,737003
nation,Scotland,S92000003,2021-12-03,2432,735750
nation,Scotland,S92000003,2021-12-02,3002,733329
nation,Scotland,S92000003,2021-12-01,2796,730331
nation,Scotland,S92000003,2021-11-30,2569,727549
nation,Scotland,S92000003,2021-11-29,2244,724983
nation,Scotland,S92000003,2021-11-28,2177,722742
nation,Scotland,S92000003,2021-11-27,2287,720572
nation,Scotland,S92000003,2021-11-26,2888,718285
nation,Scotland,S92000003,2021-11-25,2932,715399
nation,Scotland,S92000003,2021-11-24,3080,712474
nation,Scotland,S92000003,2021-11-23,2527,709399
nation,Scotland,S92000003,2021-11-22,2481,706874
nation,Scotland,S92000003,2021-11-21,2677,704395
nation,Scotland,S92000003,2021-11-20,2756,701719
nation,Scotland,S92000003,2021-11-19,3090,698962
nation,Scotland,S92000003,2021-11-18,3235,695877
nation,Scotland,S92000003,2021-11-17,3360,691939
nation,Scotland,S92000003,2021-11-16,2771,688582
nation,Scotland,S92000003,2021-11-15,2288,685815
nation,Scotland,S92000003,2021-11-14,3077,683530
nation,Scotland,S92000003,2021-11-13,3052,680455
nation,Scotland,S92000003,2021-11-12,3349,677408
nation,Scotland,S92000003,2021-11-11,3340,674062
nation,Scotland,S92000003,2021-11-10,3852,670729
nation,Scotland,S92000003,2021-11-09,2233,666880
nation,Scotland,S92000003,2021-11-08,2012,664654
nation,Scotland,S92000003,2021-11-07,2908,662644
nation,Scotland,S92000003,2021-11-06,3249,659738
nation,Scotland,S92000003,2021-11-05,2389,656497
nation,Scotland,S92000003,2021-11-04,2823,653975
nation,Scotland,S92000003,2021-11-03,3495,651169
nation,Scotland,S92000003,2021-11-02,2010,647689
nation,Scotland,S92000003,2021-11-01,2065,645697
nation,Scotland,S92000003,2021-10-31,2513,643632
nation,Scotland,S92000003,2021-10-30,3867,641121
nation,Scotland,S92000003,2021-10-29,2732,637266
nation,Scotland,S92000003,2021-10-28,2153,634544
nation,Scotland,S92000003,2021-10-27,2566,632397
nation,Scotland,S92000003,2021-10-26,2262,629849
nation,Scotland,S92000003,2021-10-25,2239,627596
nation,Scotland,S92000003,2021-10-24,2528,625363
nation,Scotland,S92000003,2021-10-23,2403,622836
nation,Scotland,S92000003,2021-10-22,2902,620433
nation,Scotland,S92000003,2021-10-21,2355,617536
nation,Scotland,S92000003,2021-10-20,2768,615182
nation,Scotland,S92000003,2021-10-19,2459,612416
nation,Scotland,S92000003,2021-10-18,2194,609959
nation,Scotland,S92000003,2021-10-17,2666,607767
nation,Scotland,S92000003,2021-10-16,2581,605104
nation,Scotland,S92000003,2021-10-15,2762,602524
